Newick_label,updatedScientificName,Diet,family,order,class,correctedName,domestication
Gallus_gallus,Gallus gallus,O,Phasianidae,Galliformes,Aves,,D
Anas_platyrhynchos,Anas platyrhynchos,O,Anatidae,Anseriformes,Aves,,D
Columba_livia,Columba livia,H,Columbidae,Columbiformes,Aves,,D
Meleagris_gallopavo,Meleagris gallopavo,O,Phasianidae,Galliformes,Aves,,D
Macaca_mulatta,Macaca mulatta,O,Cercopithecidae,Primates,Mammalia,,W
Equus_caballus,Equus caballus,H,Equidae,Perissodactyla,Mammalia,,D
Eidolon_helvum,Eidolon helvum,H,Pteropodidae,Chiroptera,Mammalia,,W
Mus_musculus,Mus musculus,O,Muridae,Rodentia,Mammalia,,D
Ovis_aries,Ovis aries,H,Bovidae,Artiodactyla,Mammalia,,D
Bos_taurus,Bos taurus,H,Bovidae,Artiodactyla,Mammalia,,D
Canis_familiaris,Canis familiaris,O,Canidae,Carnivora,Mammalia,,D
Rousettus_egyptiacus,Rousettus egyptiacus,O,Pteropodidae,Chiroptera,Mammalia,,W
Capra_aegagrus_hircus,Capra aegagrus hircus,O,Bovidae,Artiodactyla,Mammalia,,D
Pan_troglodytes,Pan troglodytes,O,Hominidae,Primates,Mammalia,,W
Sus_scrofa,Sus scrofa,O,Suidae,Artiodactyla,Mammalia,,D
Homo_sapiens,Homo sapiens,O,Hominidae,Primates,Mammalia,,D
Felis_catus,Felis catus,C,Felidae,Carnivora,Mammalia,,D
Rattus_norvegicus,Rattus norvegicus,O,Muridae,Rodentia,Mammalia,,D
Buffalo,Buffalo,H,Bovidae,Artiodactyla,Mammalia,,D
Rattus_exulans,Rattus exulans,O,Muridae,Rodentia,Mammalia,,W
Mastomys_natalensis,Mastomys natalensis,O,Muridae,Rodentia,Mammalia,,W
Rattus_rattus,Rattus rattus,O,Muridae,Rodentia,Mammalia,,D
Bubalus_bubalis,Bubalus bubalis,H,Bovidae,Artiodactyla,Mammalia,,D
Cavia_porcellus,Cavia porcellus,O,Caviidae,Rodentia,Mammalia,,D
Carollia_perspicillata,Carollia perspicillata,H,Phyllostomidae,Chiroptera,Mammalia,,W
Vulpes_vulpes,Vulpes vulpes,O,Canidae,Carnivora,Mammalia,,W
Rhinolophus_ferrumequinum,Rhinolophus ferrumequinum,C,Rhinolophidae,Chiroptera,Mammalia,,W
Gorilla_beringei,Gorilla beringei,H,Hominidae,Primates,Mammalia,,W